,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons
capacity_factor_bucket,,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
capacity_mw_bucket,year,,,,,,,,,,,,,,,,,,,,
0300-0599,2045,0.8779094768339126,4.042053570356129,0.357977964402977,2.471085506515902,4.105457835695161,7.703453195981695,3.8245643168697647,3.8621462086913434,1.8263685740469722,9.352993144926462,12.903385575266848,2.337700359840564,3.292604088173419,5.492702894814816,2.611192769572997,0.0,12.88907516946518,0.0,0.0,0.0
0300-0599,2050,1.0247243780765771,3.2502011939643967,1.6825810450939072,4.135618301114535,3.362754752190416,5.659413053048293,2.4014317792422073,9.063808052836404,2.5666307402213504,8.98923162829687,9.812209937897434,4.600539284783298,1.03476249242359,3.4178333387545976,1.3258589920276038,0.0,6.599481738494009,0.0,0.0,0.0
0300-0599,2055,0.822565232512454,3.2017813239461215,2.102428150725377,3.3582117347999048,3.210526111619827,6.17435863650787,2.870266300569186,9.865930860475022,0.764127221614293,12.663292964357293,6.608567919835472,5.090159636536255,2.257280287151448,3.4183065383964957,0.0,0.0,9.543982635184035,0.0,0.0,0.0
0600-1199,2028,1.6600926145876398,1.847156765716519,1.3487774326786335,5.195537285696714,3.948162496126749,1.7244387552758695,2.3228399794267096,4.70371907396947,8.428429354947713,7.60748344822883,3.4800490405786753,9.629343178730284,5.1329453657109925,7.050862509298973,20.49175006834651,34.752111278600964,149.19611441436325,0.0,0.0,0.0
0600-1199,2030,1.2875811249342273,1.4841671559288794,3.5496201807724854,4.333030013208608,2.9236606597563055,4.99998723268544,6.162517239671449,2.2119982053845018,2.4227768343714438,10.454796394538954,10.206554158928133,14.528873554812625,7.226103335944039,5.149773347871952,10.250877669964083,17.36724744864654,177.50471308817023,0.0,0.0,0.0
0600-1199,2035,1.4791859321161374,1.792002448437745,2.379494887781316,5.632287060387628,3.303246149524527,7.790391217261466,5.009160969480613,3.4065139373138362,6.467877107493923,31.814806789930454,29.551810464386712,1.4567364059807077,3.453870193755473,5.682318035053592,20.514158721929274,9.975647202672132,51.529878200262466,0.0,0.0,0.0
0600-1199,2040,0.7373956530876491,3.7822401587947954,1.255106699190615,6.198987453118202,2.6713347453306326,5.96659376653121,3.759041570287665,5.943966623467668,1.5831065328470368,37.47365253909625,28.703232503949437,7.073612771709109,0.0,5.781522353800805,3.8556873803149747,0.0,37.6035973430791,0.0,0.0,0.0
0600-1199,2045,0.40009530743082616,3.027498648111333,2.3327636731222356,5.290526407715171,3.767053613567128,7.913686254690146,4.463504054044711,7.054779466294644,2.611162878854244,30.0844029757329,30.98407410382471,3.343237224386956,4.1047791164940834,6.550516450927651,3.1418102797297407,0.0,15.992708015574747,0.0,0.0,0.0
0600-1199,2050,0.5014972255987962,3.77377888068571,2.567170933572912,6.053387159452595,3.4878020853199923,6.114610568303785,2.6544271723180666,9.477072106935509,10.900751619643017,26.39559130953756,15.00475634396263,6.143570747828327,0.0,4.346902745144864,0.0,0.0,12.837636383431718,0.0,0.0,0.0
0600-1199,2055,0.291169981555705,3.614274406209564,2.6657009613198115,5.994576638765344,3.3232394075679794,5.688614142150805,2.2431701746886468,23.36722304375282,1.6427932573937118,21.53324776118146,15.828820316221275,4.390530083299305,3.4935950360857237,6.3405131857259605,0.0,0.0,12.837636383431718,0.0,0.0,0.0
1200-2399,2028,0.025816233382820276,0.6380814635961476,0.0,2.576974575236317,0.0,2.144617619405295,2.0989176047571236,3.418699322486984,1.7407232849469252,0.0,2.339748828133013,6.651833417618032,5.555046304414679,0.0,7.729925344207905,14.786093249852874,51.57456762493308,0.0,0.0,0.0
1200-2399,2030,0.1523097430964873,0.5109157096648143,0.7644502264529166,0.0,3.427028423481522,0.0,0.0,1.4947981273262083,0.0,3.7278790176227576,0.0,2.7316403498452884,5.537311002216951,2.839012975032636,6.27141346147882,10.859575689627228,70.89261884049817,0.0,0.0,0.0
1200-2399,2035,0.37801845204933543,0.3452416441596219,1.1859511597011643,0.8538242498841859,0.0,0.0,0.0,0.0,0.0,18.314200764498175,23.26990323014594,0.0,0.0,0.0,0.0,0.0,11.633787067277185,0.0,0.0,0.0
1200-2399,2040,0.09310382973325403,0.7712386150182317,0.0,0.8415577041675706,0.0,1.9603826832828122,2.643473353785338,0.0,0.0,18.751360010949558,14.935455311352095,0.0,0.0,0.0,0.0,0.0,11.633787067277185,0.0,0.0,0.0
1200-2399,2045,0.12154748222001686,0.6498202778893178,1.5443366619738477,0.0,1.7964224919264007,3.6031892595056654,0.0,3.325625121596591,1.8354465763253112,9.564359795817795,11.17187998596808,0.0,0.0,0.0,0.0,0.0,11.633787067277185,0.0,0.0,0.0
